FundID,Date,NAV
F101,2025-01-01,28.50
F101,2025-01-02,28.70
F101,2025-01-03,28.65
F101,2025-01-04,28.90
F101,2025-01-05,29.10
F101,2025-01-06,29.05
F101,2025-01-07,29.25
F101,2025-01-08,29.40
F101,2025-01-09,29.35
F101,2025-01-10,29.60
F102,2025-01-01,18.40
F102,2025-01-02,18.35
F102,2025-01-03,18.50
F102,2025-01-04,18.65
F102,2025-01-05,18.55
F102,2025-01-06,18.80
F102,2025-01-07,18.95
F102,2025-01-08,19.10
F102,2025-01-09,19.05
F102,2025-01-10,19.20
F103,2025-01-01,35.10
F103,2025-01-02,35.25
F103,2025-01-03,35.15
F103,2025-01-04,35.40
F103,2025-01-05,35.60
F103,2025-01-06,35.75
F103,2025-01-07,35.65
F103,2025-01-08,35.90
F103,2025-01-09,36.10
F103,2025-01-10,36.25
F104,2025-01-01,22.75
F104,2025-01-02,22.90
F104,2025-01-03,22.85
F104,2025-01-04,23.00
F104,2025-01-05,23.20
F104,2025-01-06,23.15
F104,2025-01-07,23.35
F104,2025-01-08,23.50
F104,2025-01-09,23.45
F104,2025-01-10,23.70
F105,2025-01-01,41.80
F105,2025-01-02,41.95
F105,2025-01-03,42.10
F105,2025-01-04,42.05
F105,2025-01-05,42.30
F105,2025-01-06,42.45
F105,2025-01-07,42.60
F105,2025-01-08,42.55
F105,2025-01-09,42.80
F105,2025-01-10,43.00		
		
		
