LoanID,CustomerID,LoanType,LoanAmount,InterestRate,Tenure,ApplicationDate,BranchID,LoanStatus
L1001,101,Home Loan,3500000,8.50,240,2025-01-05,B101,Approved
L1002,102,Personal Loan,500000,11.75,60,2025-01-07,B102,Approved
L1003,103,Car Loan,900000,9.25,84,2025-01-08,B103,Pending
L1004,104,Education Loan,1200000,8.10,120,2025-01-10,B101,Approved
L1005,105,Business Loan,7500000,12.50,180,2025-01-11,B104,Rejected
L1006,106,Home Loan,4500000,8.75,300,2025-01-12,B102,Approved
L1007,107,Gold Loan,350000,10.50,24,2025-01-13,B105,Approved
L1008,108,Personal Loan,650000,13.25,48,2025-01-15,B103,Rejected
L1009,109,Car Loan,1100000,9.40,84,2025-01-16,B101,Approved
L1010,110,Business Loan,9500000,13.50,240,2025-01-18,B104,Pending
L1011,111,Home Loan,5200000,8.90,300,2025-01-20,B102,Approved
L1012,112,Education Loan,1500000,8.20,144,2025-01-22,B103,Approved
L1013,113,Personal Loan,400000,12.25,36,2025-01-23,B105,Rejected
L1014,114,Gold Loan,250000,10.00,18,2025-01-24,B101,Approved
L1015,115,Home Loan,6100000,9.10,360,2025-01-26,B104,Pending
L1016,116,Car Loan,850000,9.30,72,2025-01-27,B102,Approved
L1017,117,Business Loan,12000000,14.25,240,2025-01-28,B103,Rejected
L1018,118,Education Loan,1800000,8.40,180,2025-01-29,B105,Approved
L1019,119,Personal Loan,550000,11.90,60,2025-01-30,B101,Approved
L1020,120,Home Loan,4800000,8.80,240,2025-02-01,B104,Approved
L1021,121,Car Loan,950000,9.50,84,2025-02-02,B102,Pending
L1022,122,Business Loan,6800000,12.90,180,2025-02-03,B105,Approved
L1023,123,Gold Loan,300000,10.75,24,2025-02-04,B103,Approved
L1024,124,Personal Loan,700000,13.10,60,2025-02-05,B101,Rejected
L1025,125,Home Loan,3900000,8.60,240,2025-02-06,B104,Approved
