LoanID,EMIAmount,PaidEMIs,PendingEMIs,LastPaymentDate
L101,10500,25,35,2025-06-28
L102,8750,18,42,2025-06-25
L103,12500,36,24,2025-06-30
L104,9800,12,48,2025-06-18
L105,15200,40,20,2025-06-29
L106,7200,8,52,2025-06-15
L107,18500,50,10,2025-06-30
L108,9100,20,40,2025-06-21
L109,11000,28,32,2025-06-27
L110,6400,6,54,2025-06-10
L111,13800,32,28,2025-06-30
L112,9900,24,36,2025-06-24
L113,16000,45,15,2025-06-29
L114,8100,15,45,2025-06-19
L115,11750,27,33,2025-06-26
L116,14300,38,22,2025-06-28
L117,6900,5,55,2025-06-12
L118,13250,31,29,2025-06-30
L119,10400,22,38,2025-06-23
L120,9600,19,41,2025-06-20
L121,17600,48,12,2025-06-30
L122,8400,14,46,2025-06-17
L123,12800,30,30,2025-06-29
L124,15000,42,18,2025-06-30
L125,9300,17,43,2025-06-22
